Type;Name;Longitude;Latitude
Point;120;-6.527020117;37.13098794
Point;121;-6.527019643;37.13097188
Point;123;-6.527052834;37.13099248
Point;125;-6.527056627;37.13097925
Point;134;-6.527052834;37.13096696
Point;126;-6.527086973;37.13096734
Point;127;-6.527103331;37.13096205
Point;136;-6.527091477;37.13098416
Point;139;-6.527076542;37.13099493
Point;130;-6.527102146;37.13099588
Point;129;-6.527136048;37.13099607
Point;128;-6.527132729;37.13097547
Point;132;-6.52745001;37.13103321
Point;146;-6.527452022;37.13101851
Point;143;-6.527456045;37.13100434
Point;141;-6.527438946;37.13100354
Point;151;-6.527486555;37.13099873
Point;150;-6.527527794;37.13097254
Point;148;-6.527506337;37.13101664
Point;161;-6.527533159;37.13102092
Point;162;-6.527572051;37.13101691
Point;137;-6.527482197;37.13102813
Point;138;-6.527493931;37.13104845
Point;163;-6.527588144;37.13107892
Point;164;-6.527660564;37.13105005
Point;166;-6.527693085;37.13104016
Point;165;-6.527677663;37.13103001
Point;152;-6.527637765;37.13097494
Point;153;-6.527654529;37.13099232
Point;181;-6.527676992;37.13099044
Point;183;-6.527709514;37.13099339
Point;159;-6.527671292;37.13095864
Point;160;-6.527670287;37.1309418
Point;156;-6.527694426;37.13093244
Point;158;-6.527717225;37.13093592
Point;171;-6.527731307;37.13097147
Point;170;-6.527737677;37.13100221
Point;169;-6.52777724;37.1310137
Point;176;-6.527780928;37.13099018
Point;175;-6.527758464;37.13097922
Point;1660;-6.527750753;37.13094714
Point;184;-6.527738683;37.1309279
Point;178;-6.52781982;37.13101103
Point;177;-6.527829207;37.13099178
Point;200;-6.527876146;37.13099044
Point;198;-6.527931802;37.13095971
Point;199;-6.527891569;37.13095062
Point;197;-6.527953595;37.13093912
Point;196;-6.527926438;37.13092709
Point;195;-6.52790565;37.13091854
Point;194;-6.527895257;37.1309311
Point;192;-6.527885534;37.13091293
Point;193;-6.527857706;37.13090919
Point;191;-6.527846977;37.13091801
Point;185;-6.527745053;37.13092148
Point;186;-6.5277531;37.13091934
Point;187;-6.52775947;37.1309172
Point;188;-6.527766846;37.13091881
Point;189;-6.527776569;37.13091587
Point;1656a;-6.527829465;37.13091445
Point;1656b;-6.527834991;37.13092807
Point;1655;-6.527794552;37.13091505
Point;1647;-6.527815651;37.13091986
Point;1649;-6.52779204;37.13093027
Point;1639;-6.527784254;37.13092626
Point;1650;-6.527811632;37.13093407
Point;1642;-6.527818916;37.13094088
Point;1641;-6.527824442;37.1309519
Point;1640;-6.527798068;37.13094228
Point;1648;-6.527808618;37.13094709
Point;1646;-6.528056484;37.13081582
Point;1653;-6.527795101;37.13118501
Point;1651;-6.527811095;37.13116807
Point;1652;-6.527812766;37.13115113
Point;1654;-6.527778629;37.13115399
Point;1645;-6.527809185;37.1310691
Point;1643;-6.527784835;37.13112544
Point;1671;-6.527815631;37.13110907
Point;1672;-6.527829;37.1311184
Point;1673;-6.527843801;37.13111954
Point;1657;-6.527871493;37.13108928
Point;1658;-6.52784762;37.13108985
Point;1659;-6.527911361;37.131079
Point;1664;-6.527988804;37.13105424
Point;1674;-6.527894421;37.13112885
Point;1661;-6.527935159;37.13112306
Point;1662;-6.527941209;37.13114075
Point;1663;-6.52798961;37.1311192
Point;1665;-6.528033575;37.13109862
Point;1675;-6.527905109;37.131184
Point;1680;-6.527967628;37.13119139
Point;1666;-6.528011593;37.13119396
Point;1676;-6.527884539;37.13123448
Point;1678;-6.527919227;37.13127918
Point;1679;-6.527948267;37.13125731
Point;202;-6.528092665;37.13124718
Point;201;-6.528102345;37.13116486
Point;1681;-6.528135016;37.13115232
Point;1685;-6.528151957;37.13113721
Point;1683;-6.52813663;37.13112113
Point;1686;-6.528151554;37.13117387
Point;1688;-6.528137033;37.13119027
Point;1689;-6.528183821;37.13117676
Point;1692;-6.528249163;37.13117033
Point;1694;-6.528473423;37.13123561
Point;1693;-6.528344756;37.13118737
Point;1690;-6.528296758;37.13117162
Point;1697;-6.52849665;37.13132354
Point;3;-6.528413074;37.13102276
Point;1;-6.528597852;37.13111964
Point;2;-6.528494729;37.13106585
Point;4;-6.528339853;37.13097539
Point;out;-6.528508147;37.13104125
Point;168;-6.527749;37.13103989